Gene_name,String_protein_id
AGFG1,9606.ENSP00000387282
AGFG2,9606.ENSP00000300176
AGGF1,9606.ENSP00000316109
AGK,9606.ENSP00000497280
AGL,9606.ENSP00000294724
AGMAT,9606.ENSP00000364986
AGMO,9606.ENSP00000341662
AGO1,9606.ENSP00000362300
AGO2,9606.ENSP00000220592
AGO3,9606.ENSP00000362287
AGO4,9606.ENSP00000362306
AGPAT1,9606.ENSP00000378877
AGPAT2,9606.ENSP00000360761
AGPAT3,9606.ENSP00000291572
AGPAT4,9606.ENSP00000314036
AGPAT5,9606.ENSP00000285518
AGPS,9606.ENSP00000264167
AGR2,9606.ENSP00000391490
AGR3,9606.ENSP00000308606
AGRN,9606.ENSP00000368678
AGRP,9606.ENSP00000290953
AGT,9606.ENSP00000355627
AGTPBP1,9606.ENSP00000338512
AGTR1,9606.ENSP00000398832
AGTR2,9606.ENSP00000360973
AGTRAP,9606.ENSP00000319713
AGXT,9606.ENSP00000302620
AGXT2,9606.ENSP00000231420
AHCTF1,9606.ENSP00000355465
AHCY,9606.ENSP00000217426
AHCYL1,9606.ENSP00000358814
AHCYL2,9606.ENSP00000315931
AHDC1,9606.ENSP00000363123
AHI1,9606.ENSP00000265602
AHNAK,9606.ENSP00000367263
AHNAK2,9606.ENSP00000353114
AHR,9606.ENSP00000242057
AHRR,9606.ENSP00000323816
AHRR-2,9606.ENSP00000426932
AHSA1,9606.ENSP00000216479
AHSG,9606.ENSP00000273784
AHSP,9606.ENSP00000307199
AICDA,9606.ENSP00000229335
AIDA,9606.ENSP00000339161
AIF1,9606.ENSP00000365227
AIF1L,9606.ENSP00000361383
AIFM1,9606.ENSP00000287295
AIFM2,9606.ENSP00000478931
AIFM3,9606.ENSP00000382120
AIG1,9606.ENSP00000350509
AIM2,9606.ENSP00000357112
AIMP1,9606.ENSP00000378191
AIMP2,9606.ENSP00000223029
AIP,9606.ENSP00000279146
AIPL1,9606.ENSP00000370521
AIRE,9606.ENSP00000291582
AJAP1,9606.ENSP00000367433
AJM1,9606.ENSP00000412388
AJUBA,9606.ENSP00000262713
AK1,9606.ENSP00000223836
AK2,9606.ENSP00000499935
AK3,9606.ENSP00000371230
AK4,9606.ENSP00000378743
AK5,9606.ENSP00000346577
AK6,9606.ENSP00000370201
AK7,9606.ENSP00000267584
AK8,9606.ENSP00000298545
AK9,9606.ENSP00000410186
AKAIN1,9606.ENSP00000462259
AKAP1,9606.ENSP00000478212
AKAP10,9606.ENSP00000225737
AKAP11,9606.ENSP00000025301
AKAP12,9606.ENSP00000384537
AKAP13,9606.ENSP00000354718
AKAP14,9606.ENSP00000360485
AKAP17A,9606.ENSP00000324827
AKAP3,9606.ENSP00000228850
AKAP4,9606.ENSP00000351327
AKAP5,9606.ENSP00000378207
AKAP6,9606.ENSP00000280979
AKAP7,9606.ENSP00000405252
AKAP8,9606.ENSP00000269701
AKAP8L,9606.ENSP00000380557
AKAP9,9606.ENSP00000348573
AKIP1,9606.ENSP00000310459
AKIRIN1,9606.ENSP00000392678
AKIRIN2,9606.ENSP00000257787
AKNA,9606.ENSP00000303769
AKNAD1,9606.ENSP00000359018
AKR1A1,9606.ENSP00000361140
AKR1B1,9606.ENSP00000285930
AKR1B10,9606.ENSP00000352584
AKR1B15,9606.ENSP00000389289
AKR1C1,9606.ENSP00000370254
AKR1C2,9606.ENSP00000370129
AKR1C3,9606.ENSP00000369927
AKR1C4,9606.ENSP00000369814
AKR1C8P,9606.ENSP00000496804
AKR1D1,9606.ENSP00000242375
AKR1E2,9606.ENSP00000298375
AKR7A2,9606.ENSP00000235835
AKR7A3,9606.ENSP00000355377
AKT1,9606.ENSP00000451828
AKT1S1,9606.ENSP00000375711
AKT2,9606.ENSP00000375892
AKT3,9606.ENSP00000500582
AKTIP,9606.ENSP00000300245
ALAD,9606.ENSP00000386284
ALAS1,9606.ENSP00000378416
ALAS2,9606.ENSP00000497236
ALB,9606.ENSP00000295897
ALCAM,9606.ENSP00000305988
ALDH16A1,9606.ENSP00000293350
ALDH18A1,9606.ENSP00000360268
ALDH1A1,9606.ENSP00000297785
ALDH1A2,9606.ENSP00000249750
ALDH1A3,9606.ENSP00000332256
ALDH1B1,9606.ENSP00000366927
ALDH1L1,9606.ENSP00000273450
ALDH1L2,9606.ENSP00000258494
ALDH2,9606.ENSP00000261733
ALDH3A1,9606.ENSP00000411821
ALDH3A2,9606.ENSP00000345774
ALDH3B1,9606.ENSP00000473990
ALDH3B2,9606.ENSP00000501254
ALDH4A1,9606.ENSP00000364490
ALDH5A1,9606.ENSP00000314649
ALDH6A1,9606.ENSP00000450436
ALDH7A1,9606.ENSP00000387123
ALDH8A1,9606.ENSP00000265605
ALDH9A1,9606.ENSP00000346827
ALDOA,9606.ENSP00000496166
ALDOB,9606.ENSP00000497767
ALDOC,9606.ENSP00000378731
ALG1,9606.ENSP00000262374
ALG10,9606.ENSP00000266483
ALG10B,9606.ENSP00000310120
ALG11,9606.ENSP00000430236
ALG12,9606.ENSP00000333813
ALG13,9606.ENSP00000378260
ALG14,9606.ENSP00000359224
ALG1L,9606.ENSP00000482705
ALG1L2,9606.ENSP00000479850
ALG2,9606.ENSP00000417764
ALG3,9606.ENSP00000380793
ALG5,9606.ENSP00000239891
ALG6,9606.ENSP00000263440
ALG8,9606.ENSP00000299626
ALG9,9606.ENSP00000482437
ALG9-2,9606.ENSP00000482396
ALK,9606.ENSP00000373700
ALKAL1,9606.ENSP00000351345
ALKAL2,9606.ENSP00000384604
ALKBH1,9606.ENSP00000216489
ALKBH2,9606.ENSP00000398181
ALKBH3,9606.ENSP00000302232
ALKBH4,9606.ENSP00000292566
ALKBH5,9606.ENSP00000382091
ALKBH6,9606.ENSP00000368152
ALKBH7,9606.ENSP00000245812
ALKBH8,9606.ENSP00000397673
ALLC,9606.ENSP00000252505
ALMS1,9606.ENSP00000482968
ALOX12,9606.ENSP00000251535
ALOX12B,9606.ENSP00000497784
ALOX15,9606.ENSP00000293761
ALOX15B,9606.ENSP00000369530
ALOX5,9606.ENSP00000363512
ALOX5AP,9606.ENSP00000479870
ALOXE3,9606.ENSP00000314879
ALPG,9606.ENSP00000295453
ALPI,9606.ENSP00000295463
ALPK1,9606.ENSP00000498374
ALPK2,9606.ENSP00000354991
ALPK3,9606.ENSP00000258888
ALPL,9606.ENSP00000363973
ALPP,9606.ENSP00000375881
ALS2,9606.ENSP00000264276
ALS2CL,9606.ENSP00000313670
ALX1,9606.ENSP00000315417
ALX3,9606.ENSP00000497310
ALX4,9606.ENSP00000498217
ALYREF,9606.ENSP00000421592
AMACR,9606.ENSP00000371517
AMBN,9606.ENSP00000313809
AMBP,9606.ENSP00000265132
AMBRA1,9606.ENSP00000431926
AMDHD1,9606.ENSP00000266736
AMDHD2,9606.ENSP00000391596
AMDHD2-2,9606.ENSP00000455561
AMELX,9606.ENSP00000370088
AMELY,9606.ENSP00000372505
AMER1,9606.ENSP00000364003
AMER2,9606.ENSP00000426528
AMER3,9606.ENSP00000392700
AMFR,9606.ENSP00000290649
AMH,9606.ENSP00000221496
AMHR2,9606.ENSP00000257863
AMIGO1,9606.ENSP00000358880
AMIGO2,9606.ENSP00000266581
AMIGO3,9606.ENSP00000323096
