Gene_name,PB_id
Acad8,SMP0120441
Acad8,SMP0120442
Acad8,SMP0120443
Acad8,SMP0120444
Acad8,SMP0120459
Acad8,SMP0120503
Acad8,SMP0120516
Acad8,SMP0120523
Acad8,SMP0120525
Acad8,SMP0120537
Acad8,SMP0120586
Acad8,SMP0120587
Acad8,SMP0120588
Acad8,SMP0120589
ACADL,SMP0000051
ACADL,SMP0000181
ACADL,SMP0000185
ACADL,SMP0000235
ACADL,SMP0000480
ACADL,SMP0000482
ACADL,SMP0000538
ACADL,SMP0000539
ACADL,SMP0000540
ACADL,SMP0000541
ACADL,SMP0000542
ACADL,SMP0000545
ACADL,SMP0000568
Acadl,SMP0063589
Acadl,SMP0063639
Acadl,SMP0063641
Acadl,SMP0087280
Acadl,SMP0087358
Acadl,SMP0087360
Acadl,SMP0120476
Acadl,SMP0120520
Acadl,SMP0120603
Acadl,SMP0120604
Acadl,SMP0120605
Acadl,SMP0120606
Acadl,SMP0120607
Acadl,SMP0120609
Acadl,SMP0120632
Acadl,SMP0120696
Acadl,SMP0120740
Acadl,SMP0120822
Acadl,SMP0120823
Acadl,SMP0120824
Acadl,SMP0120825
Acadl,SMP0120826
Acadl,SMP0120828
Acadl,SMP0120851
ACADM,SMP0000051
ACADM,SMP0000032
ACADM,SMP0000173
ACADM,SMP0000137
ACADM,SMP0000236
ACADM,SMP0000138
ACADM,SMP0000199
ACADM,SMP0000237
ACADM,SMP0000139
ACADM,SMP0000140
ACADM,SMP0000384
ACADM,SMP0000200
ACADM,SMP0000238
ACADM,SMP0000181
ACADM,SMP0000185
ACADM,SMP0000235
ACADM,SMP0000016
ACADM,SMP0000481
ACADM,SMP0000198
ACADM,SMP0000201
ACADM,SMP0000141
ACADM,SMP0000502
ACADM,SMP0000521
ACADM,SMP0000522
ACADM,SMP0000523
ACADM,SMP0000524
ACADM,SMP0000538
ACADM,SMP0000539
ACADM,SMP0000540
ACADM,SMP0000541
ACADM,SMP0000542
ACADM,SMP0000545
Acadm,SMP0063589
Acadm,SMP0063640
Acadm,SMP0063656
Acadm,SMP0063689
ACADM,SMP0087172
ACADM,SMP0087234
ACADM,SMP0087248
ACADM,SMP0087266
Acadm,SMP0087280
Acadm,SMP0087327
Acadm,SMP0087341
Acadm,SMP0087359
Acadm,SMP0120439
Acadm,SMP0120440
Acadm,SMP0120441
Acadm,SMP0120442
Acadm,SMP0120443
Acadm,SMP0120444
Acadm,SMP0120459
Acadm,SMP0120476
Acadm,SMP0120503
Acadm,SMP0120514
Acadm,SMP0120516
Acadm,SMP0120520
Acadm,SMP0120523
Acadm,SMP0120525
Acadm,SMP0120528
Acadm,SMP0120537
Acadm,SMP0120567
Acadm,SMP0120586
Acadm,SMP0120587
Acadm,SMP0120588
Acadm,SMP0120589
Acadm,SMP0120603
Acadm,SMP0120604
Acadm,SMP0120605
Acadm,SMP0120606
Acadm,SMP0120607
Acadm,SMP0120609
Acadm,SMP0120660
Acadm,SMP0120661
Acadm,SMP0120662
Acadm,SMP0120663
Acadm,SMP0120664
Acadm,SMP0120665
Acadm,SMP0120679
Acadm,SMP0120696
Acadm,SMP0120723
Acadm,SMP0120734
Acadm,SMP0120736
Acadm,SMP0120740
Acadm,SMP0120743
Acadm,SMP0120745
Acadm,SMP0120748
Acadm,SMP0120757
Acadm,SMP0120786
Acadm,SMP0120805
Acadm,SMP0120806
Acadm,SMP0120807
Acadm,SMP0120808
Acadm,SMP0120822
Acadm,SMP0120823
Acadm,SMP0120824
Acadm,SMP0120825
Acadm,SMP0120826
Acadm,SMP0120828
ACADS,SMP0000073
ACADS,SMP0000051
ACADS,SMP0000032
ACADS,SMP0000173
ACADS,SMP0000137
ACADS,SMP0000236
ACADS,SMP0000138
ACADS,SMP0000199
ACADS,SMP0000237
ACADS,SMP0000139
ACADS,SMP0000140
ACADS,SMP0000384
ACADS,SMP0000200
ACADS,SMP0000238
ACADS,SMP0000181
ACADS,SMP0000185
ACADS,SMP0000235
ACADS,SMP0000480
ACADS,SMP0000141
ACADS,SMP0000521
ACADS,SMP0000522
ACADS,SMP0000523
ACADS,SMP0000524
ACADS,SMP0000538
ACADS,SMP0000539
ACADS,SMP0000540
ACADS,SMP0000541
ACADS,SMP0000542
ACADS,SMP0000545
ACADS,SMP0000568
Acads,SMP0063589
Acads,SMP0063603
Acads,SMP0063641
Acads,SMP0063689
ACADS,SMP0087172
ACADS,SMP0087185
ACADS,SMP0087234
ACADS,SMP0087265
Acads,SMP0087280
Acads,SMP0087287
Acads,SMP0087300
Acads,SMP0087327
Acads,SMP0087358
Acads,SMP0120439
Acads,SMP0120440
Acads,SMP0120441
Acads,SMP0120442
Acads,SMP0120443
Acads,SMP0120444
Acads,SMP0120459
Acads,SMP0120476
Acads,SMP0120503
Acads,SMP0120516
Acads,SMP0120520
Acads,SMP0120523
Acads,SMP0120525
Acads,SMP0120537
Acads,SMP0120586
Acads,SMP0120587
Acads,SMP0120588
Acads,SMP0120589
Acads,SMP0120603
Acads,SMP0120604
Acads,SMP0120605
Acads,SMP0120606
Acads,SMP0120607
Acads,SMP0120609
Acads,SMP0120632
Acads,SMP0120660
Acads,SMP0120661
Acads,SMP0120662
Acads,SMP0120663
Acads,SMP0120664
Acads,SMP0120665
Acads,SMP0120679
Acads,SMP0120696
Acads,SMP0120704
Acads,SMP0120723
Acads,SMP0120736
Acads,SMP0120740
Acads,SMP0120743
Acads,SMP0120745
Acads,SMP0120746
Acads,SMP0120757
Acads,SMP0120805
Acads,SMP0120806
Acads,SMP0120807
